route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
49,26FE23-CPBlock-Weekday-11,29515548,49A E Mcdowell To Streetsville Go,,0,2769304,490062,1,1
28,26FE23-CPBlock-Weekday-11,29515549,28 N Confederation To City Centre,,0,2769386,280136,1,1
49,26FE23-CPBlock-Weekday-11,29515550,49A E Mcdowell To Streetsville Go,,0,2769278,490062,1,1
49,26FE23-CPBlock-Weekday-11,29515551,49A W Mcdowell To Churchill Meadows,,1,2769428,490070,1,1
45,26FE23-CPBlock-Weekday-11,29515552,45 N Winston Churchill To Meadowvale,,0,2769184,450204,1,1
36,26FE23-CPBlock-Weekday-11,29515553,36 S Ridgeway To South Common,,1,2769488,360041,1,1
28,26FE23-CPBlock-Weekday-11,29515554,28 S Confederation To Trillium,,1,2769383,280134,1,1
304,26FE23-CPBlock-Weekday-11,29515632,304 W Father Goetz Ss To School,,1,2769232,3040015,1,1
321,26FE23-CPBlock-Weekday-11,29515633,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2769190,3210028,1,1
321,26FE23-CPBlock-Weekday-11,29515634,321 N  Stephen Lewis Ss To Joan Of Arc Ss,,0,2769191,3210028,1,1
315,26FE23-CPBlock-Weekday-11,29515635,315 S Rick Hansen Ss To City Centre,,1,2769446,3150021,1,1
321,26FE23-CPBlock-Weekday-11,29515636,321 S Stephen Lewis Ss To Artesian,,1,2769270,3210027,1,1
321,26FE23-CPBlock-Weekday-11,29515637,321 S Stephen Lewis Ss To Artesian,,1,2769105,3210029,1,1
313,26FE23-CPBlock-Weekday-11,29515638,313 N Streetsville Ss To Meadowvale,,0,2769163,3130015,1,1
314,26FE23-CPBlock-Weekday-11,29515639,314 S Rick Hansen Ss To School,,1,2769516,3140028,1,1
314,26FE23-CPBlock-Weekday-11,29515640,314 N Rick Hansen Ss To Bristol,,0,2769387,3140029,1,1
302,26FE23-CPBlock-Weekday-11,29515641,302 W Philip Pocock Ss To City Centre,,1,2769379,3020024,1,1
13,26FE23-CPBlock-Weekday-11,29515642,13 S Glen Erin To Clarkson Go,,1,2769248,130139,1,1
315,26FE23-CPBlock-Weekday-11,29515643,315 N Rick Hansen Ss To School,,0,2769172,3150022,1,1
307,26FE23-CPBlock-Weekday-11,29515644,307 E Philip Pocock Ss To Kipling Terminal,,0,2769464,3070032,1,1
4,26FE23-CPBlock-Weekday-11,29515645,4 W North Service Road To Cooksville Go,,1,2769202,40190,1,1
4,26FE23-CPBlock-Weekday-11,29515646,4 E North Service Road To Sherway Gardens,,0,2769389,40199,1,1
306,26FE23-CPBlock-Weekday-11,29515647,306 S Streetsville Ss To Mavis,,1,2769305,3060013,1,1
2,26FE23-CPBlock-Weekday-11,29515648,2 N Hurontario To City Centre,,0,2769301,20022,1,1
8,26FE23-CPBlock-Weekday-11,29515649,8 N Cawthra To City Centre,,0,2769453,80241,1,1
13,26FE23-CPBlock-Weekday-11,29515650,13 N Glen Erin To Meadowvale,,0,2769195,130137,1,1
13,26FE23-CPBlock-Weekday-11,29515651,13 N Glen Erin To Meadowvale,,0,2769196,130140,1,1
2,26FE23-CPBlock-Weekday-11,29515652,2 S Hurontario To Port Credit Go,,1,2769224,20019,1,1
36,26FE23-CPBlock-Weekday-11,29515653,36 N Ridgeway To Winston Churchill Station,,0,2769168,360044,1,1
36,26FE23-CPBlock-Weekday-11,29515654,36 S Ridgeway To South Common,,1,2769169,360041,1,1
